1	The	_	_	_	_	_	_	3	3	NOUN	NOUN	_	_	_	_	_
2	actual	_	_	_	_	_	_	3	3	_	_	_	_	_	_	ARGM-ADJ
3	vote	_	_	_	_	_	_	4	4	_	_	Y	V.01	_	_	ARG1
4	is	_	_	_	_	_	_	7	7	ADJ	ADJ	Y	V.01	_	_	_
5	a	_	_	_	_	_	_	6	6	ADJ	ADJ	_	_	_	_	_
6	little	_	_	_	_	_	_	7	7	_	_	_	_	_	_	ARGM-EXT
7	confusing	_	_	_	_	_	_	4	4	_	_	Y	V.01	_	_	ARG2
8	.	_	_	_	_	_	_	7	7	ADJ	ADJ	_	_	_	_	_

1	What	_	_	_	_	_	_	4	4	_	_	_	_	ARG1
2	if	_	_	_	_	_	_	4	4	VERB	VERB	_	_	_
3	Google	_	_	_	_	_	_	4	4	_	_	_	_	ARG0
4	Morphed	_	_	_	_	_	_	0	0	ROOT	ROOT	Y	V.01	_
5	Into	_	_	_	_	_	_	6	6	PROPN	PROPN	_	_	_
6	GoogleOS	_	_	_	_	_	_	4	4	_	_	_	_	ARG2
7	?	_	_	_	_	_	_	4	4	VERB	VERB	_	_	_

1	What	_	_	_	_	_	_	4	4	_	_	_	_	ARG1
2	if	_	_	_	_	_	_	4	4	VERB	VERB	_	_	_
3	Google	_	_	_	_	_	_	4	4	_	_	_	_	ARG0
4	expanded	_	_	_	_	_	_	0	0	_	_	Y	V.01	ARGM-ADV
5	on	_	_	_	_	_	_	9	9	NOUN	NOUN	_	_	_
6	its	_	_	_	_	_	_	9	9	NOUN	NOUN	_	_	_
7	search	_	_	_	_	_	_	9	9	NOUN	NOUN	_	_	_
8	-	_	_	_	_	_	_	9	9	NOUN	NOUN	_	_	_
9	engine	_	_	_	_	_	_	4	4	_	_	_	_	ARG1
10	(	_	_	_	_	_	_	9	9	NOUN	NOUN	_	_	_
11	and	_	_	_	_	_	_	13	13	NOUN	NOUN	_	_	_
12	now	_	_	_	_	_	_	13	13	NOUN	NOUN	_	_	_
13	e-mail	_	_	_	_	_	_	9	9	NOUN	NOUN	_	_	_
14	)	_	_	_	_	_	_	13	13	NOUN	NOUN	_	_	_
15	wares	_	_	_	_	_	_	7	7	NOUN	NOUN	_	_	_
16	into	_	_	_	_	_	_	22	22	NOUN	NOUN	_	_	_
17	a	_	_	_	_	_	_	22	22	NOUN	NOUN	_	_	_
18	full	_	_	_	_	_	_	0	0	VERB	VERB	_	_	_
19	-	_	_	_	_	_	_	0	0	VERB	VERB	_	_	_
20	fledged	_	_	_	_	_	_	22	22	NOUN	NOUN	_	_	_
21	operating	_	_	_	_	_	_	22	22	NOUN	NOUN	_	_	_
22	system	_	_	_	_	_	_	0	0	_	_	_	_	ARG2
23	?	_	_	_	_	_	_	0	0	VERB	VERB	_	_	_

1	[	_	_	_	_	_	_	0	0	NOUN	NOUN	_	_	_
2	via	_	_	_	_	_	_	0	0	NOUN	NOUN	_	_	_
3	Microsoft	_	_	_	_	_	_	0	0	NOUN	NOUN	_	_	_
4	Watch	_	_	_	_	_	_	0	0	ROOT	ROOT	_	_	_
5	from	_	_	_	_	_	_	6	6	PROPN	PROPN	_	_	_
6	Mary	_	_	_	_	_	_	0	0	NOUN	NOUN	_	_	_
7	Jo	_	_	_	_	_	_	6	6	PROPN	PROPN	_	_	_
8	Foley	_	_	_	_	_	_	6	6	PROPN	PROPN	_	_	_
9	]	_	_	_	_	_	_	6	6	PROPN	PROPN	_	_	_

